Date,Price,Open,High,Low,Vol.,Change %
Apr-92,414.95,403.67,416.28,392.41,-,0.0279
Mar-92,403.69,412.68,413.78,401.94,-,-0.0218
Feb-92,412.70,408.79,418.08,406.34,-,0.0096
Jan-92,408.78,417.03,421.18,408.64,-,-0.0199
Dec-91,417.09,375.11,418.32,371.36,-,0.1116
Nov-91,375.22,392.46,398.22,371.63,-,-0.0439
Oct-91,392.45,387.86,393.81,376.11,-,0.0118
Sep-91,387.86,395.43,397.62,382.77,-,-0.0191
Aug-91,395.43,387.81,396.82,374.09,-,0.0196
Jul-91,387.81,371.18,387.81,370.92,-,0.0449
Jun-91,371.16,389.81,389.81,367.98,-,-0.0479
May-91,389.83,375.35,389.85,365.83,-,0.0386
Apr-91,375.34,375.22,391.26,370.27,-,0.0003
Mar-91,375.22,367.07,379.66,363.73,-,0.0222
Feb-91,367.07,343.91,370.96,340.37,-,0.0673
Jan-91,343.93,330.20,343.93,309.35,-,0.0415
Dec-90,330.22,322.23,333.98,321.97,-,0.0248
Nov-90,322.22,303.99,323.02,301.61,-,0.0599
Oct-90,304.00,306.10,319.69,294.51,-,-0.0067
Sep-90,306.05,322.56,326.53,295.98,-,-0.0512
Aug-90,322.56,356.15,357.35,306.18,-,-0.0943
Jul-90,356.15,358.02,369.78,350.09,-,-0.0052
Jun-90,358.02,361.26,368.78,351.23,-,-0.0089
May-90,361.23,330.80,362.26,330.80,-,0.0920
Apr-90,330.80,339.94,347.30,327.76,-,-0.0269
Mar-90,339.94,331.89,344.49,331.08,-,0.0243
Feb-90,331.89,329.08,336.09,322.10,-,0.0085
Jan-90,329.08,353.40,360.59,319.83,-,-0.0688
Dec-89,353.40,346.01,354.10,339.63,-,0.0214
Nov-89,345.99,340.36,346.50,330.91,-,0.0165
Oct-89,340.36,349.15,360.44,327.12,-,-0.0252
Sep-89,349.15,351.45,354.13,341.37,-,-0.0065
Aug-89,351.45,346.08,352.73,339.00,-,0.0155
Jul-89,346.08,317.98,346.08,317.26,-,0.0884
Jun-89,317.98,320.51,329.19,314.38,-,-0.0079
May-89,320.52,309.64,323.06,304.06,-,0.0351
Apr-89,309.64,294.87,310.45,294.35,-,0.0501
Mar-89,294.87,288.86,299.99,286.46,-,0.0208
Feb-89,288.86,297.47,300.57,286.26,-,-0.0289
Jan-89,297.47,277.72,297.51,273.81,-,0.0711
Dec-88,277.72,273.68,280.45,270.47,-,0.0147
Nov-88,273.70,278.97,280.37,262.85,-,-0.0189
Oct-88,278.97,271.89,283.95,268.84,-,0.0260
Sep-88,271.91,261.52,274.87,256.98,-,0.0397
Aug-88,261.52,272.03,274.20,256.53,-,-0.0386
Jul-88,272.02,273.50,276.36,262.48,-,-0.0054
Jun-88,273.50,262.16,276.88,262.10,-,0.0433
May-88,262.16,261.36,263.70,248.85,-,0.0032
Apr-88,261.33,258.89,272.05,254.71,-,0.0094
Mar-88,258.89,267.82,272.64,256.07,-,-0.0333
Feb-88,267.82,257.05,267.82,247.82,-,0.0418
Jan-88,257.07,247.10,261.78,240.17,-,0.0404
Dec-87,247.08,230.32,253.35,221.24,-,0.0729
Nov-87,230.30,251.73,257.21,225.75,-,-0.0853
Oct-87,251.79,321.83,328.94,216.46,-,-0.2176
Sep-87,321.83,329.81,332.18,308.56,-,-0.0242
Aug-87,329.80,318.62,337.89,314.51,-,0.0350
Jul-87,318.66,303.99,318.85,302.53,-,0.0482
Jun-87,304.00,290.12,310.27,286.93,-,0.0479
May-87,290.10,286.99,298.69,277.01,-,0.0060
Apr-87,288.36,291.59,303.65,275.67,-,-0.0115
Mar-87,291.70,284.17,302.72,282.30,-,0.0264
Feb-87,284.20,274.08,287.55,273.16,-,0.0369
Jan-87,274.08,242.17,280.96,242.17,-,0.1318
Dec-86,242.17,249.22,254.87,241.28,-,-0.0283
Nov-86,249.22,243.97,249.22,235.51,-,0.0215
Oct-86,243.98,231.32,244.51,231.32,-,0.0547
